NAME,TYPE
customer,categorical
job_number,numerical
grain_screened,categorical
ink_color,categorical
proof_on_ctd_ink,categorical
blade_mfg,categorical
cylinder_division,categorical
paper_type,categorical
ink_type,categorical
direct_steam,categorical
solvent_type,categorical
type_on_cylinder,categorical
press_type,categorical
press,categorical
unit_number,numerical
cylinder_size,categorical
paper_mill_location,categorical
plating_tank,categorical
proof_cut,numerical
viscosity,numerical
caliper,categorical
ink_temperature,numerical
humifity,numerical
roughness,numerical
blade_pressure,numerical
varnish_pct,numerical
press_speed,numerical
ink_pct,numerical
solvent_pct,numerical
ESA_Voltage,numerical
ESA_Amperage,numerical
wax,numerical
hardener,numerical
roller_durometer,numerical
current_density,categorical
anode_space_ratio,numerical
chrome_content,categorical
target,target
