NAME,TYPE
a,numerical
all,numerical
also,numerical
an,numerical
and,numerical
any,numerical
are,numerical
as,numerical
at,numerical
be,numerical
been,numerical
but,numerical
by,numerical
can,numerical
do,numerical
down,numerical
even,numerical
every,numerical
for,numerical
from,numerical
had,numerical
has,numerical
have,numerical
her,numerical
his,numerical
if,numerical
in,numerical
into,numerical
is,numerical
it,numerical
its,numerical
may,numerical
more,numerical
must,numerical
my,numerical
no,numerical
not,numerical
now,numerical
of,numerical
on,numerical
one,numerical
only,numerical
or,numerical
our,numerical
should,numerical
so,numerical
some,numerical
such,numerical
than,numerical
that,numerical
the,numerical
their,numerical
then,numerical
there,numerical
things,numerical
this,numerical
to,numerical
up,numerical
upon,numerical
was,numerical
were,numerical
what,numerical
when,numerical
which,numerical
who,numerical
will,numerical
with,numerical
would,numerical
your,numerical
BookID,numerical
target,target
