NAME,TYPE
V1,numerical
V2,numerical
V3,numerical
V4,numerical
V5,numerical
V6,numerical
V7,numerical
V8,numerical
V9,numerical
V10,numerical
V11,numerical
V12,numerical
V13,numerical
V14,numerical
V15,numerical
V16,numerical
V17,numerical
V18,numerical
V19,numerical
V20,numerical
V21,numerical
V22,numerical
V23,numerical
V24,numerical
V25,numerical
V26,numerical
V27,numerical
V28,numerical
V29,numerical
V30,numerical
V31,numerical
V32,numerical
V33,numerical
V34,numerical
V35,numerical
V36,numerical
V37,numerical
V38,numerical
V39,numerical
V40,numerical
V41,numerical
V42,numerical
V43,numerical
V44,numerical
V45,numerical
V46,numerical
V47,numerical
V48,numerical
V49,numerical
V50,numerical
V51,numerical
V52,numerical
V53,numerical
V54,numerical
V55,numerical
V56,numerical
V57,numerical
V58,numerical
V59,numerical
V60,numerical
V61,numerical
V62,numerical
V63,numerical
V64,numerical
V65,numerical
V66,numerical
V67,numerical
V68,numerical
V69,numerical
V70,numerical
V71,numerical
V72,numerical
V73,numerical
V74,numerical
V75,numerical
V76,numerical
V77,numerical
V78,numerical
V79,numerical
V80,numerical
V81,numerical
V82,numerical
V83,numerical
V84,numerical
V85,numerical
V86,numerical
V87,numerical
V88,numerical
V89,numerical
V90,numerical
V91,numerical
V92,numerical
V93,numerical
V94,numerical
V95,numerical
V96,numerical
V97,numerical
V98,numerical
V99,numerical
V100,numerical
V101,numerical
V102,numerical
V103,numerical
V104,numerical
V105,numerical
V106,numerical
V107,numerical
V108,numerical
V109,numerical
V110,numerical
V111,numerical
V112,numerical
V113,numerical
V114,numerical
V115,numerical
V116,numerical
V117,numerical
V118,numerical
V119,numerical
V120,numerical
V121,numerical
V122,numerical
V123,numerical
V124,numerical
V125,numerical
V126,numerical
V127,numerical
V128,numerical
V129,numerical
V130,numerical
V131,numerical
V132,numerical
V133,numerical
V134,numerical
V135,numerical
V136,numerical
V137,numerical
V138,numerical
V139,numerical
V140,numerical
V141,numerical
V142,numerical
V143,numerical
V144,numerical
V145,numerical
V146,numerical
V147,numerical
V148,numerical
V149,numerical
V150,numerical
V151,numerical
V152,numerical
V153,numerical
V154,numerical
V155,numerical
V156,numerical
V157,numerical
V158,numerical
V159,numerical
V160,numerical
V161,numerical
V162,numerical
V163,numerical
V164,numerical
V165,numerical
V166,numerical
V167,numerical
V168,numerical
V169,numerical
V170,numerical
V171,numerical
V172,numerical
V173,numerical
V174,numerical
V175,numerical
V176,numerical
V177,numerical
V178,numerical
V179,numerical
V180,numerical
V181,numerical
V182,numerical
V183,numerical
V184,numerical
V185,numerical
V186,numerical
V187,numerical
